antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,is_disease_target
frozenset({'TARGET_Coagulation_factor_IX'}),"frozenset({'TARGET_Coagulation_factor_X', 'DISEASE_C0019069'})",0.0008957563542716381,0.0007837868099876833,0.0006718172657037286,0.75,956.8928571428571,1.0,0.0006711151836882878,3.996864852760049,0.9998505734244836,0.6666666666666666,0.7498038995965934,0.8035714285714286,True
frozenset({'TARGET_Spike_glycoprotein'}),frozenset({'DISEASE_C5203670'}),0.0008957563542716381,0.0013436345314074571,0.0008957563542716381,1.0,744.25,1.0,0.0008945527851023111,inf,0.9995517202734506,0.6666666666666669,1.0,0.8333333333333334,True
frozenset({'TARGET_Antithrombin-III'}),"frozenset({'TARGET_Coagulation_factor_X', 'DISEASE_C0149871'})",0.0012316649871235024,0.0006718172657037286,0.0005598477214197738,0.4545454545454545,676.590909090909,1.0,0.0005590202676158615,1.8321016683462095,0.9997533632286996,0.4166666666666666,0.45417876241405647,0.6439393939393938,True
frozenset({'TARGET_Antithrombin-III'}),frozenset({'DISEASE_C0149871'}),0.0012316649871235024,0.0008957563542716381,0.0006718172657037286,0.5454545454545454,608.9318181818181,1.0,0.0006707139939651788,2.198029336020602,0.9995889387144993,0.4615384615384615,0.5450470184304096,0.6477272727272727,True
"frozenset({'TARGET_Coagulation_factor_X', 'TARGET_Coagulation_factor_IX'})",frozenset({'DISEASE_C0019069'}),0.0008957563542716381,0.0012316649871235024,0.0006718172657037286,0.75,608.9318181818181,1.0,0.0006707139939651788,3.995073340051506,0.9992528671224178,0.4615384615384615,0.7496917040358745,0.6477272727272727,True
frozenset({'TARGET_Coagulation_factor_IX'}),frozenset({'DISEASE_C0019069'}),0.0008957563542716381,0.0012316649871235024,0.0006718172657037286,0.75,608.9318181818181,1.0,0.0006707139939651788,3.995073340051506,0.9992528671224178,0.4615384615384615,0.7496917040358745,0.6477272727272727,True
frozenset({'TARGET_Protein_P'}),frozenset({'DISEASE_C0524909'}),0.0008957563542716381,0.0013436345314074571,0.0006718172657037286,0.75,558.1875,1.0,0.0006706136965344016,3.99462546187437,0.9991034405469014,0.42857142857142855,0.7496636394214597,0.625,True
"frozenset({'TARGET_Coagulation_factor_X', 'TARGET_Antithrombin-III'})",frozenset({'DISEASE_C0149871'}),0.0011196954428395476,0.0008957563542716381,0.0005598477214197738,0.5,558.1875,1.0,0.0005588447471120012,1.9982084872914567,0.9993274296603518,0.3846153846153846,0.49955172027345063,0.5625,True
frozenset({'TARGET_5-hydroxytryptamine_receptor_1F'}),"frozenset({'DISEASE_C0149931', 'TARGET_5-hydroxytryptamine_receptor_1A'})",0.0015675736199753667,0.0008957563542716381,0.0007837868099876833,0.5,558.1875,1.0,0.0007823826459568018,1.9982084872914567,0.9997757093192777,0.4666666666666666,0.49955172027345063,0.6875,True
frozenset({'TARGET_von_Willebrand_factor'}),frozenset({'DISEASE_C0019069'}),0.001007725898555593,0.0012316649871235024,0.0006718172657037286,0.6666666666666666,541.2727272727273,1.0,0.0006705760849978601,2.9963050050386295,0.9991593813046402,0.42857142857142855,0.6662556053811659,0.606060606060606,True
frozenset({'TARGET_ATP-sensitive_inward_rectifier_potassium_channel_10'}),"frozenset({'TARGET_ATP-binding_cassette_sub-family_C_member_8', 'DISEASE_C0011860'})",0.0007837868099876833,0.0013436345314074571,0.0005598477214197738,0.7142857142857143,531.6071428571429,1.0,0.0005587945983966127,3.495297279140074,0.9989018377409234,0.35714285714285715,0.713901302195954,0.5654761904761905,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_beta-2'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1D'})",0.001455604075691412,0.0008957563542716381,0.0006718172657037286,0.4615384615384615,515.25,1.0,0.0006705133991036242,1.8554793096277808,0.999514091350826,0.3999999999999999,0.4610556987560237,0.6057692307692307,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1D'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1S'})",0.002015451797111186,0.0007837868099876833,0.0007837868099876833,0.3888888888888889,496.1666666666667,1.0,0.0007822071254529416,1.6350810761291108,1.0,0.3888888888888889,0.38840953234722847,0.6944444444444444,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_beta-2'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1S'})",0.001455604075691412,0.0007837868099876833,0.0005598477214197738,0.3846153846153846,490.71428571428567,1.0,0.0005587068381446825,1.62372634643377,0.9994169096209912,0.3333333333333333,0.38413267593007616,0.5494505494505495,True
frozenset({'TARGET_ATP-binding_cassette_sub-family_C_member_8'}),"frozenset({'DISEASE_C0011860', 'TARGET_ATP-sensitive_inward_rectifier_potassium_channel_10'})",0.001455604075691412,0.0007837868099876833,0.0005598477214197738,0.3846153846153846,490.71428571428567,1.0,0.0005587068381446825,1.62372634643377,0.9994169096209912,0.3333333333333333,0.38413267593007616,0.5494505494505495,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1S'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1D'})",0.0017915127085432762,0.0008957563542716381,0.0007837868099876833,0.4375,488.4140625,1.0,0.0007821820510952473,1.7761853220368504,0.9997436102876371,0.411764705882353,0.43699568530763194,0.65625,True
frozenset({'TARGET_Hydroxylapatite'}),frozenset({'DISEASE_C0029401'}),0.001903482252827231,0.0007837868099876833,0.0006718172657037286,0.35294117647058826,450.3025210084034,1.0,0.000670325341420917,1.544243238566383,0.9996821479320919,0.3333333333333333,0.35243362248530075,0.6050420168067226,True
frozenset({'TARGET_5-hydroxytryptamine_receptor_1F'}),"frozenset({'DISEASE_C0149931', 'TARGET_5-hydroxytryptamine_receptor_1D'})",0.0015675736199753667,0.0011196954428395476,0.0007837868099876833,0.5,446.55,1.0,0.0007820316049490815,1.997760609114321,0.9993271279578334,0.411764705882353,0.49943952471695996,0.6000000000000001,True
frozenset({'TARGET_5-hydroxytryptamine_receptor_1F'}),"frozenset({'DISEASE_C0149931', 'TARGET_5-hydroxytryptamine_receptor_1B'})",0.0015675736199753667,0.0011196954428395476,0.0007837868099876833,0.5,446.55,1.0,0.0007820316049490815,1.997760609114321,0.9993271279578334,0.411764705882353,0.49943952471695996,0.6000000000000001,True
"frozenset({'TARGET_Insulin-like_growth_factor_1_receptor', 'TARGET_Insulin_receptor'})",frozenset({'DISEASE_C0011849'}),0.0023513604299630502,0.0008957563542716381,0.0008957563542716381,0.38095238095238093,425.2857142857143,1.0,0.0008936501082253158,1.613937624350792,1.0,0.38095238095238093,0.38039736795760554,0.6904761904761905,True
frozenset({'TARGET_Insulin_receptor'}),frozenset({'DISEASE_C0011849'}),0.002463329974247005,0.0008957563542716381,0.0008957563542716381,0.36363636363636365,405.95454545454544,1.0,0.0008935498107945386,1.5700209543004302,1.0,0.36363636363636365,0.3630658258025735,0.6818181818181819,True
frozenset({'TARGET_Insulin_receptor'}),"frozenset({'TARGET_Insulin-like_growth_factor_1_receptor', 'DISEASE_C0011849'})",0.002463329974247005,0.0008957563542716381,0.0008957563542716381,0.36363636363636365,405.95454545454544,1.0,0.0008935498107945386,1.5700209543004302,1.0,0.36363636363636365,0.3630658258025735,0.6818181818181819,True
frozenset({'TARGET_Calcitonin_gene-related_peptide_type_1_receptor'}),frozenset({'DISEASE_C0149931'}),0.0005598477214197738,0.0026872690628149142,0.0005598477214197738,1.0,372.125,1.0,0.000558343259958115,inf,0.9978713869594444,0.20833333333333331,1.0,0.6041666666666666,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_beta-2'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C'})",0.001455604075691412,0.0013436345314074571,0.0006718172657037286,0.4615384615384615,343.5,1.0,0.0006698614658035721,1.854647535870243,0.9985422740524781,0.31578947368421045,0.4608139926000673,0.4807692307692307,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1D'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C'})",0.002015451797111186,0.0013436345314074571,0.0008957563542716381,0.4444444444444444,330.77777777777777,1.0,0.0008930483236406523,1.7975814578434663,0.9989902389767754,0.3636363636363637,0.4436969764921329,0.5555555555555556,True
frozenset({'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1S'}),"frozenset({'DISEASE_C0020538', 'TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C'})",0.0017915127085432762,0.0013436345314074571,0.0007837868099876833,0.4375,325.609375,1.0,0.0007813796716490293,1.7753890941663866,0.998718051438186,0.33333333333333337,0.4367431886982846,0.5104166666666667,True
frozenset({'TARGET_Substance-P_receptor'}),frozenset({'DISEASE_C0401160'}),0.0011196954428395476,0.0016795431642593216,0.0005598477214197738,0.5,297.7,1.0,0.0005579671445927003,1.9966409136714813,0.9977580988678397,0.24999999999999994,0.49915881561238223,0.41666666666666663,True
frozenset({'TARGET_Genome_polyprotein'}),frozenset({'DISEASE_C0524910'}),0.0021274213413951405,0.0026872690628149142,0.0016795431642593216,0.7894736842105264,293.78289473684214,1.0,0.001673826210705018,4.737235471951632,0.9987208258527827,0.5357142857142859,0.7889064189608411,0.7072368421052633,True
frozenset({'TARGET_Erythropoietin_receptor'}),frozenset({'DISEASE_C1561828'}),0.0015675736199753667,0.0012316649871235024,0.0005598477214197738,0.35714285714285715,289.96753246753246,1.0,0.0005579169958773117,1.5536396322422525,0.9981159582819334,0.24999999999999994,0.35635009609224855,0.4058441558441558,True
frozenset({'TARGET_Nonstructural_protein_5A'}),frozenset({'DISEASE_C0524910'}),0.0008957563542716381,0.0026872690628149142,0.0006718172657037286,0.75,279.09375,1.0,0.0006694101273650745,3.9892509237487404,0.9973103216407038,0.23076923076923075,0.7493263725159987,0.5,True
frozenset({'TARGET_Reverse_transcriptase/RNaseH'}),"frozenset({'DISEASE_C0019693', 'TARGET_Gag-Pol_polyprotein'})",0.0026872690628149142,0.0035830254170865525,0.0021274213413951405,0.7916666666666666,220.94921875,1.0,0.002117792788040524,4.7828014779979835,0.9981563879385227,0.5135135135135135,0.7909175188223395,0.6927083333333333,True
"frozenset({'TARGET_5-hydroxytryptamine_receptor_1D', 'TARGET_5-hydroxytryptamine_receptor_1F'})",frozenset({'DISEASE_C0149931'}),0.0013436345314074571,0.0026872690628149142,0.0007837868099876833,0.5833333333333334,217.07291666666669,1.0,0.0007801761024797023,2.3935505542492446,0.9967324972370382,0.2413793103448276,0.5822106208599978,0.4375,True
"frozenset({'TARGET_5-hydroxytryptamine_receptor_1B', 'TARGET_5-hydroxytryptamine_receptor_1F'})",frozenset({'DISEASE_C0149931'}),0.0013436345314074571,0.0026872690628149142,0.0007837868099876833,0.5833333333333334,217.07291666666669,1.0,0.0007801761024797023,2.3935505542492446,0.9967324972370382,0.2413793103448276,0.5822106208599978,0.4375,True
frozenset({'TARGET_5-hydroxytryptamine_receptor_1F'}),frozenset({'DISEASE_C0149931'}),0.0015675736199753667,0.0026872690628149142,0.0008957563542716381,0.5714285714285714,212.64285714285714,1.0,0.0008915438621789935,2.327063038853432,0.996859930469889,0.26666666666666666,0.5702737814559976,0.4523809523809524,True
frozenset({'TARGET_Pol_polyprotein'}),"frozenset({'DISEASE_C0019693', 'TARGET_Gag-Pol_polyprotein'})",0.0013436345314074571,0.0035830254170865525,0.001007725898555593,0.75,209.3203125,1.0,0.0010029116218782848,3.985667898331654,0.9965616474193668,0.2571428571428571,0.7491010225868076,0.515625,True
