antecedents,consequents,confidence,lift,support
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Glutamate_receptor_2', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Glutamate_receptor_2', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Glutamate_receptor_2', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-6', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-7'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_ionotropic,_kainate_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-2'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
"frozenset({'TARGET_Neuronal_acetylcholine_receptor_subunit_alpha-4', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1', 'TARGET_Glutamate_receptor_2', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3', 'TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-5'})",frozenset({'DISEASE_C0917801'}),1.0,83.0,0.0041906757464641176
