DrugBank_ID,Drug_Name,Predicted_Disease_ID,Predicted_Disease_Name,Matched_Targets,Bridging_Genes,Rule_Confidence,Rule_Growth_Rate,Validation_Status
DB00849,Methylphenobarbital,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB00142,Glutamic acid,C0917801,Sleeplessness,"TARGET_Glutamate_receptor_ionotropic,_kainate_2",间接机制,1.0,inf,🌟 零样本全新发现
DB00898,Ethanol,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB00241,Butalbital,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB00371,Meprobamate,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB00599,Thiopental,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB01354,Heptabarbital,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB01355,Hexobarbital,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB01496,"Dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1H,5H)-pyrimidinedione",C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB00794,Primidone,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-4,间接机制,1.0,inf,🌟 零样本全新发现
DB12105,Imagabalin,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB12032,Atagabalin,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB11825,Mirogabalin,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB08872,Gabapentin enacarbil,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB06712,Nilvadipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB04838,Cyclandelate,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB02884,3-Cyclohexyl-L-alanine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB01054,Nitrendipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB00996,Gabapentin,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB00343,Diltiazem,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,✅ Spark验证集完美命中
DB00308,Ibutilide,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB00230,Pregabalin,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
