drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
methotrexate,DB00563,Malignant Head and Neck Neoplasm,C0278996,,Approved,,
guselkumab,DB11834,Chronic small plaque psoriasis,C0406317,,Approved,,
avelumab,DB11945,Merkel cell carcinoma,C0007129,,Approved,,
triamcinolone diacetate,DB00620,Epicondylitis,C0014488,,Approved,,
desoximetasone,DB00547,Seborrheic dermatitis,C0036508,,Approved,,
hydrocortisone,DB00741,Transplanted organ rejection,C0345468,,Approved,,
brolucizumab,DB14864,Macular edema due to diabetes mellitus,C0730285,,Approved,,
triamcinolone,DB00620,Crohn Disease,C0010346,,Approved,,
caspofungin,DB00520,Candidiasis of the esophagus,C0239295,,Approved,,
doxylamine,DB00366,Dermatographic urticaria,C0343065,,Approved,,
alfacalcidol,DB01436,Hyperparathyroidism,C0020502,,Approved,,
cefalotin,DB00456,Urinary tract infection,C0042029,,Approved,,
ethionamide,DB00609,Acute tuberculosis,C0275959,,Approved,,
cefuroxime,DB01112,Gonorrhea of rectum,C0275665,,Approved,,
amikacin,DB00479,"Pneumonia, Bacterial",C0004626,,Approved,,
tacrolimus,DB00864,"Dermatitis, Atopic",C0011615,,Approved,,
cefamandole,DB01326,Staphylococcal Pneumonia,C0032308,,Approved,,
levetiracetam,DB01202,Simple Partial Seizures,C0234974,,Approved,,
rituximab,DB00073,Pemphigus Vulgaris,C0030809,,Approved,,
ceftriaxone,DB01212,Acute gonococcal cervicitis,C0153195,,Approved,,
mestranol,DB01357,Female hypogonadism syndrome,C0271578,,Approved,,
magnesium salicylate,DB01397,Back Pain,C0004604,,Approved,,
codeine,DB00318,Allergic rhinitis (disorder),C2607914,,Approved,,
pseudoephedrine,DB00852,Rhinitis,C0035455,,Approved,,
prednisone,DB00635,Crohn Disease,C0010346,,Approved,,
velpatasvir,DB11613,Early cirrhosis,C1299579,,Approved,,
tobramycin,DB00684,Pneumonia due to Pseudomonas,C0155860,,Approved,,
moexipril,DB14210,Hypertensive disease,C0020538,,Approved,,
indomethacin,DB00328,Ankylosing spondylitis,C0038013,,Approved,,
trametinib,DB08911,"Malignant melanoma, metastatic",C0860594,,Approved,,
amitriptyline,DB00321,Depressive disorder,C0011581,,Approved,,
gemifloxacin,DB01155,Haemophilus influenzae pneumonia,C0276026,,Approved,,
mepyramine,DB06691,Nasal congestion (finding),C0027424,,Approved,,
sulfabenzamide,DB09355,Vulvovaginitis,C0042998,,Approved,,
benzoyl peroxide,DB09096,Granuloma Annulare,C0085074,,Approved,,
loratadine,DB00455,Sneezing,C0037383,,Approved,,
erythromycin,DB00199,Acute gonococcal urethritis,C0275652,,Approved,,
reteplase,DB00015,Acute myocardial infarction,C0155626,,Approved,,
troxipide,DB13419,Gastric ulcer,C0038358,,Approved,,
pravastatin,DB00175,Cerebrovascular accident,C0038454,,Approved,,
norfloxacin,DB01059,Proteus urinary tract infection,C0577709,,Approved,,
triamcinolone,DB00620,Epicondylitis,C0014488,,Approved,,
methyltestosterone,DB06710,Hormone receptor positive malignant neoplasm of breast,C1562029,,Approved,,
bromazine,DB01237,Coughing,C0010200,,Approved,,
magnesium silicate,DB09281,Peptic Ulcer,C0030920,,Approved,,
cefonicid,DB01328,Lower respiratory tract infection,C0149725,,Approved,,
adenosine,DB00640,Paroxysmal supraventricular tachycardia,C0030590,,Approved,,
cortisone acetate,DB01380,Allergic rhinitis (disorder),C2607914,,Approved,,
pipotiazine palmitate,DB01621,Schizophrenia,C0036341,,Approved,,
filgotinib,DB14845,Rheumatoid Arthritis,C0003873,,Approved,,
ceftizoxime,DB01332,Urinary tract infection,C0042029,,Approved,,
amikacin,DB00479,Serratia sepsis,C0152973,,Approved,,
desoximetasone,DB00547,Contact Dermatitis,C0011616,,Approved,,
poldine,DB13507,Peptic Ulcer,C0030920,,Approved,,
betamethasone valerate,DB00443,Psoriasis of scalp,C0406326,,Approved,,
teniposide,DB00444,Acute lymphocytic leukemia,C0023449,,Approved,,
ergotamine,DB00696,Migraine Disorders,C0149931,,Approved,,
darifenacin,DB00496,Urgency of micturition,C0085606,,Approved,,
triamcinolone acetonide,DB00620,Sarcoidosis,C0036202,,Approved,,
adalimumab,DB00051,Crohn Disease,C0010346,,Approved,,
telaprevir,DB05521,"Hepatitis C, Chronic",C0524910,,Approved,,
cefotetan,DB01330,Streptococcal pneumonia,C0155862,,Approved,,
trastuzumab deruxtecan,DB14962,Metastatic human epidermal growth factor 2 positive carcinoma of breast,C4721209,,Approved,,
betamethasone acetate,DB00443,Rheumatic Heart Disease,C0035439,,Approved,,
tacalcitol,DB13689,Chronic small plaque psoriasis,C0406317,,Approved,,
piperacillin,DB00319,Proteus septicemia,C0577690,,Approved,,
tetracycline,DB00759,Anthrax disease,C0003175,,Approved,,
acetylsalicylic acid,DB00945,Back Pain,C0004604,,Approved,,
triamcinolone hexacetonide,DB00620,Necrobiosis Lipoidica Diabeticorum,C0392445,,Approved,,
