drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
NA,DB00002,Non-Small Cell Lung Carcinoma,C0007131,NCT00203931,Terminated,Phase 2,Slow accrual and evidence from other studies showing benefit of early initiation of pemetrexed after first-line therapy
NA,DB00002,Non-Small Cell Lung Carcinoma,C0007131,NCT04165031,Terminated,Phase 1/Phase 2,The study was terminated due to an unexpected toxicity finding.
NA,DB00005,Juvenile arthritis,C3495559,NCT03781375,Terminated,Phase 3,NA
NA,DB00005,Osteoporosis,C0029456,NCT01294397,Terminated,Phase 1,Lack of enrollment.
NA,DB00005,Rheumatoid Arthritis,C0003873,NCT00298272,Terminated,Phase 2,Sponsor decided to end long term extension phase for business reasons unrelated to safety.
NA,DB00005,Rheumatoid Arthritis,C0003873,NCT01764997,Terminated,Phase 3,Due to small number of participants entering randomization. Not a safety issue.
NA,DB00007,Malignant neoplasm of breast,C0006142,NCT00498901,Terminated,Phase 2,NA
NA,DB00014,Malignant neoplasm of breast,C0006142,NCT00053911,Terminated,Phase 3,NA
NA,DB00014,Malignant neoplasm of breast,C0006142,NCT01013506,Withdrawn,Phase 2,Study was abandoned before opening to accrual. Replaced by another study.
NA,DB00023,Acute lymphoblastic leukemia - category,C1531702,NCT00187005,Terminated,Phase 3,Toxicity
NA,DB00023,Acute lymphoblastic leukemia - category,C1531702,NCT00957320,Withdrawn,Phase 1,"no patients enrolled, decided not to pursue study"
NA,DB00023,Acute lymphoblastic leukemia - category,C1531702,NCT01483690,Terminated,Phase 1/Phase 2,Toxicity
NA,DB00023,Acute lymphoblastic leukemia - category,C1531702,NCT02518750,Terminated,Phase 2,Due to slow accrual
NA,DB00023,Acute lymphocytic leukemia,C0023449,NCT02419755,Terminated,Phase 2,Accrual goals were no longer feasible based on restrictions imposed by the DSMB.
NA,DB00030,Asthma,C0004096,NCT00523042,Terminated,Phase 3,See termination reason in detailed description
NA,DB00030,Diabetes Mellitus,C0011849,NCT02446028,Suspended,Phase 2,IND Withdrawn
NA,DB00030,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,NCT01051011,Terminated,Phase 3,high discontinuation rates mainly due to GI tolerability and implementation of risk mitigation plan to address hypersensitivity reactions
NA,DB00030,Obesity,C0028754,NCT00656422,Terminated,Phase 3,NA
NA,DB00051,Psoriasis,C0033860,NCT01704599,Terminated,Phase 1/Phase 2,side effect and poor clinical outcome
NA,DB00051,Rheumatoid Arthritis,C0003873,NCT00298272,Terminated,Phase 2,Sponsor decided to end long term extension phase for business reasons unrelated to safety.
NA,DB00051,Rheumatoid Arthritis,C0003873,NCT01764997,Terminated,Phase 3,Due to small number of participants entering randomization. Not a safety issue.
NA,DB00051,Rheumatoid Arthritis,C0003873,NCT02393378,Terminated,Phase 2,Strategic decision - to understand data from psoriasis study - NCT02129777 and wait for results of formal proof of concept study - NCT02379091.
NA,DB00054,Hemoglobin SS disease with crisis,C0238425,NCT01932554,Withdrawn,Phase 2,Insufficient recruitment
NA,DB00065,Crohn Disease,C0010346,NCT00796250,Terminated,Phase 3,"Due to poor patient recruitment, a decision was made to terminate this trial."
NA,DB00065,Psoriasis,C0033860,NCT00833053,Terminated,Phase 3,"In Amendment 1 of P05319 [NCT 00779675], the option to enroll into this study, was discontinued due to low numbers of participants with suboptimal response."
NA,DB00065,Renal Cell Carcinoma,C0007134,NCT02763761,Withdrawn,Phase 2,Insufficient enrollment
NA,DB00065,Rheumatoid Arthritis,C0003873,NCT00521924,Terminated,Phase 3,Slow Enrollment
NA,DB00065,Rheumatoid Arthritis,C0003873,NCT00808210,Terminated,Phase 2,"Based on analysis of results and consideration of available treatments, the overall benefit to risk profile of ocrelizumab was not favorable in RA."
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00006123,Withdrawn,Phase 1/Phase 2,Never started
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00041470,Terminated,Phase 1/Phase 2,Sponsor withdrew the study
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00088985,Terminated,Phase 2,Funding unavailable
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00118053,Terminated,Phase 2,slow accrual
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00130507,Terminated,Phase 2,A new alternative treatment caused the decrease in the rhythm of recruitment.
NA,DB00072,Malignant neoplasm of breast,C0006142,NCT00138125,Terminated,Phase 2,Due to low accrual
