drug_name,drugbank_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
,DB00864,"Leukemia, Myelomonocytic, Chronic",C0023480,NCT01773395,Terminated,Phase 2,Recommendation by the Data and Safety Monitoring Board due to efficacy concerns
heparin,DB01109,Acute myocardial infarction,C0155626,NCT02565147,Terminated,Phase 3,Futility at the interim analysis.
,DB00563,Acute lymphoblastic leukemia - category,C1531702,NCT00187005,Terminated,Phase 3,Toxicity
pemetrexed,DB00642,Non-Small Cell Lung Carcinoma,C0007131,NCT00794417,Terminated,Phase 1/Phase 2,
lactulose,DB00581,Hepatic Encephalopathy,C0019151,NCT00364689,Terminated,Phase 3,Difficult to recruit participants
rosiglitazone,DB00412,Endometriosis,C0014175,NCT00121953,Withdrawn,Phase 2/Phase 3,Due to the recent meta-analysis about CV adverse effects.
sorafenib,DB00398,Metastatic Renal Cell Cancer,C0278678,NCT01100242,Terminated,Phase 2,Low accrual
capecitabine,DB01101,Malignant neoplasm of breast,C0006142,NCT00305643,Terminated,Phase 3,Terminated due to low accrual. No data analyzed.
glycine,DB00145,Herpes Labialis,C0019345,NCT00913692,Terminated,Phase 2,Terminated due to slow recruitment.
,DB00819,Heart failure,C0018801,NCT00746954,Terminated,Phase 3,Patient recruitment and Funding inadequate to finish trial
micafungin,DB01141,Aspergillosis,C0004030,NCT01207128,Withdrawn,Phase 2,None enrolled
,DB14644,Crohn Disease,C0010346,NCT00796250,Terminated,Phase 3,"Due to poor patient recruitment, a decision was made to terminate this trial."
everolimus,DB01590,Multiple Myeloma,C0026764,NCT01234974,Withdrawn,Phase 2,Study never undertaken
,DB00602,COVID19 (disease),C5203670,NCT05283954,Withdrawn,Phase 2/Phase 3,Lack of funding
,DB06603,Chronic graft-versus-host disease,C0867389,NCT01028313,Withdrawn,Phase 2,A decision was made to not move forward with the study. No participants were enrolled or treated.
icodextrin,DB00702,Congestive heart failure,C0018802,NCT01124227,Terminated,Phase 3,"Due to very specific inclusion criteria the anticipated number of patients was not reached. Inclusion stopped at N=26, allowing for analyzing primary outcomes."
epirubicin,DB00445,Malignant neoplasm of breast,C0006142,NCT01301040,Terminated,Phase 2,Slow recruitment
,DB01229,Malignant neoplasm of breast,C0006142,NCT01227408,Withdrawn,Phase 2,Sponsor withdrew due to funding issues
paclitaxel,DB01229,Non-Small Cell Lung Carcinoma,C0007131,NCT00960297,Terminated,Phase 2,Study was terminated due to slow accrual
denosumab,DB06643,Rheumatoid Arthritis,C0003873,NCT01294397,Terminated,Phase 1,Lack of enrollment.
,DB00860,Microscopic Polyarteritis,C2347126,NCT01408836,Terminated,Phase 2/Phase 3,Completed
sirolimus,DB00877,Neuroblastoma,C0027819,NCT01204450,Terminated,Phase 1,Funding has become unavailable
lenalidomide,DB00480,Multiple Myeloma,C0026764,NCT02155634,Withdrawn,Phase 3,The study was terminated due to poor feasibility and lack of interest at the participating sites.
rivaroxaban,DB06228,COVID19 (disease),C5203670,NCT04504032,Terminated,Phase 2,"Based on Data Monitoring Committee''s recommendation on 3 February 2021, the study was stopped on 4 February 2021 due to futility."
,DB00302,Postpartum Hemorrhage,C0032797,NCT02503319,Suspended,Phase 3,Authorization denied
methylprednisolone,DB00959,Acute Lung Injury,C0242488,NCT01757899,Withdrawn,Phase 2,Technical problems
memantine,DB01043,Alzheimer's Disease,C0002395,NCT00857649,Terminated,Phase 3,
dronabinol,DB00470,Nausea,C0027497,NCT02608931,Withdrawn,Phase 2,Unable to begin study with drug provider
spironolactone,DB00421,Acute heart failure,C0264714,NCT02299726,Withdrawn,Phase 2,Study was not funded
,DB00188,Multiple Myeloma,C0026764,NCT01729338,Terminated,Phase 2,
etoposide,DB00773,Non-Small Cell Lung Carcinoma,C0007131,NCT02947113,Withdrawn,Phase 2,New studies available with immunotherapy so recruitment is no longer acceptable.
