antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,is_disease_target
frozenset({'TARGET_Genome_polyprotein'}),frozenset({'DISEASE_C0524910'}),0.0021274213413951405,0.0026872690628149142,0.0016795431642593216,0.7894736842105264,293.78289473684214,1.0,0.001673826210705018,4.737235471951632,0.9987208258527827,0.5357142857142859,0.7889064189608411,0.7072368421052633,True
frozenset({'TARGET_Reverse_transcriptase/RNaseH'}),"frozenset({'DISEASE_C0019693', 'TARGET_Gag-Pol_polyprotein'})",0.0026872690628149142,0.0035830254170865525,0.0021274213413951405,0.7916666666666666,220.94921875,1.0,0.002117792788040524,4.7828014779979835,0.9981563879385227,0.5135135135135135,0.7909175188223395,0.6927083333333333,True
frozenset({'TARGET_Gag-Pol_polyprotein'}),"frozenset({'DISEASE_C0019693', 'TARGET_Reverse_transcriptase/RNaseH'})",0.004814690404210055,0.0021274213413951405,0.0021274213413951405,0.441860465116279,207.69767441860463,1.0,0.0021171784662770135,1.7878550367633335,0.9999999999999998,0.441860465116279,0.44067053567700715,0.7209302325581395,True
"frozenset({'TARGET_Gag-Pol_polyprotein', 'TARGET_Reverse_transcriptase/RNaseH'})",frozenset({'DISEASE_C0019693'}),0.0025752995185309596,0.004030903594222372,0.0021274213413951405,0.8260869565217391,204.93840579710144,1.0,0.002117040557309695,5.726822304333221,0.9976898352752109,0.47500000000000003,0.825383092602097,0.6769323671497585,True
frozenset({'TARGET_Reverse_transcriptase/RNaseH'}),frozenset({'DISEASE_C0019693'}),0.0026872690628149142,0.004030903594222372,0.0021274213413951405,0.7916666666666666,196.39930555555554,1.0,0.002116589218871197,4.780651662747731,0.9975891226888373,0.4634146341463415,0.7908234963462619,0.6597222222222222,True
frozenset({'TARGET_Gag-Pol_polyprotein'}),frozenset({'DISEASE_C0019693'}),0.004814690404210055,0.004030903594222372,0.0035830254170865525,0.7441860465116279,184.6201550387597,1.0,0.0035636178642311543,3.8933337404953123,0.9993952520252025,0.6808510638297873,0.7431507117926193,0.8165374677002584,True
"frozenset({'TARGET_D(3)_dopamine_receptor', 'TARGET_Histamine_H1_receptor'})","frozenset({'DISEASE_C0036341', 'TARGET_5-hydroxytryptamine_receptor_2A'})",0.005598477214197738,0.0035830254170865525,0.0016795431642593216,0.30000000000000004,83.728125,1.0,0.0016594836781038712,1.4234528208327335,0.993619337161731,0.2238805970149254,0.29748286324306106,0.384375,True
"frozenset({'TARGET_5-hydroxytryptamine_receptor_2A', 'TARGET_D(1A)_dopamine_receptor'})","frozenset({'DISEASE_C0036341', 'TARGET_D(2)_dopamine_receptor'})",0.007837868099876834,0.004142873138506326,0.002463329974247005,0.3142857142857143,75.86177606177606,1.0,0.0024308586810328696,1.4522916433396782,0.994613782560967,0.2588235294117647,0.3114330688425584,0.45444015444015445,True
"frozenset({'TARGET_5-hydroxytryptamine_receptor_2C', 'TARGET_D(1A)_dopamine_receptor'})","frozenset({'DISEASE_C0036341', 'TARGET_5-hydroxytryptamine_receptor_2A'})",0.00727802037845706,0.0035830254170865525,0.001903482252827231,0.26153846153846155,72.99375,1.0,0.0018774049208251454,1.3493146530810285,0.9935311367948938,0.2125,0.25888302056410833,0.39639423076923075,True
"frozenset({'TARGET_D(3)_dopamine_receptor', 'TARGET_Histamine_H1_receptor'})","frozenset({'DISEASE_C0036341', 'TARGET_D(2)_dopamine_receptor'})",0.005598477214197738,0.004142873138506326,0.0016795431642593216,0.30000000000000004,72.41351351351352,1.0,0.001656349383392082,1.4226530383735625,0.9917426716210637,0.2083333333333334,0.2970879244434451,0.35270270270270276,True
"frozenset({'TARGET_D(1A)_dopamine_receptor', 'TARGET_Histamine_H1_receptor'})","frozenset({'DISEASE_C0036341', 'TARGET_5-hydroxytryptamine_receptor_2A'})",0.006606203112753331,0.0035830254170865525,0.0016795431642593216,0.25423728813559326,70.95603813559323,1.0,0.00165587297059589,1.3361045795543611,0.9924631800420798,0.1973684210526316,0.2515555928013241,0.3614936440677966,True
